Client ID;Конверсия;Марка;Модель;Avg. Session Duration;Bounce Rate;Browser;City;Campaign;Date;Device Category;Domain;Goal Completion Location;Goal Completions;Goal Conversion Rate;Goal Value;Keyword;Medium;Pageviews;Region;Sessions;Source;Source conv.;Продажа;Цена;Валюта
GA1.2.1512491118.1580307561;0;Mercedes;;0;0,00%;Chrome;Krasnodar;Mersedes_Krasnodar_Poisk;29.01.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/?placement=;0;0;0;#NAME?;cpc;2;Krasnodar Krai;1;google;google;0;;
GA1.2.1512508956.1579021126;0;BMW;;0,004791667;0,00%;YaBrowser;Stavropol;(not set);14.01.2020;desktop;BMW-keyauto-krd.ru;/?keyauto_from=1;0;0;0;(not set);(none);4;Stavropol Krai;1;(direct);(direct);0;;
GA1.2.1512627468.1580495163;0;BMW;;0,00046875;0,00%;Chrome;Krasnodar;(not set);31.01.2020;mobile;BMW-keyauto-krd.ru;/;0;0;0;(not provided);organic;12;Krasnodar Krai;2;google;google;0;;
GA1.2.1512627468.1580495163;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);31.01.2020;mobile;cars.BMW-keyauto-krd.ru;/;1;1;24164;(not set);referral;2;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1512627468.1580495163;1;BMW;;0,001053241;0,00%;Chrome;Krasnodar;(not set);01.02.2020;mobile;BMW-keyauto-krd.ru;/;1;1;26458;(not provided);organic;14;Krasnodar Krai;1;google;google;0;;
GA1.2.1512627468.1580495163;0;BMW;;0,009027778;0,00%;Chrome;Krasnodar;(not set);04.02.2020;mobile;BMW-keyauto-krd.ru;(entrance);0;0;0;(not provided);organic;4;Krasnodar Krai;1;google;google;0;;
GA1.2.1512640704.1574837882;1;BMW;;0,000231481;0,00%;YaBrowser;Krasnodar;(not set);16.01.2020;desktop;BMW-keyauto-krd.ru;(entrance);1;1;32454;(not set);referral;4;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1512640704.1574837882;1;BMW;;0,001388889;0,00%;YaBrowser;Krasnodar;(not set);16.01.2020;desktop;cars.BMW-keyauto-krd.ru;/;1;1;11677;(not set);referral;4;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1512644696.1564199358;1;Mercedes;;0,004363426;0,00%;Android Webview;(not set);e220_X;08.02.2020;mobile;Mersedes-krasnodar.ru;(entrance);1;1;12342;(not set);cpm;6;Krasnodar Krai;1;IG;ig;0;;
GA1.2.1512652290.1581238635;1;Mercedes;e220;0;0,00%;Safari (in-app);Krasnodar;e220_X;09.02.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/e220-x-line/item65704166.php;1;1;32000;(not set);cpm;2;Krasnodar Krai;1;IG;ig;0;3850000;Рубль
GA1.2.1512824501.1578923528;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);13.01.2020;mobile;BMW-keyauto-krd.ru;/;1;1;41381;(not set);(none);2;Krasnodar Krai;1;(direct);(direct);0;;
GA1.2.1512931821.1578170410;0;Mercedes;glc;0;0,00%;Safari;Ryazan;(not set);04.01.2020;tablet;Mersedes-krasnodar.ru;/models/glc_prime/options/;0;0;0;(not set);organic;2;Ryazan Oblast;1;yandex;YANDEX;0;3950000;Рубль
GA1.2.1513047458.1580056717;0;Mercedes;;0,058333333;0,00%;Safari;Krasnodar;(not set);26.01.2020;mobile;Mersedes-krasnodar.ru;/;0;0;0;(not provided);organic;18;Krasnodar Krai;1;google;google;0;;
GA1.2.1513049759.1580413133;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);30.01.2020;mobile;BMW-keyauto-krd.ru;/;1;1;40851;(not provided);organic;2;Krasnodar Krai;1;google;google;0;;
GA1.2.1513201084.1580403380;0;Mercedes;;0,003506944;0,00%;Firefox;Sevastopol;(not set);30.01.2020;desktop;Mersedes-krasnodar.ru;/models/;0;0;0;(not set);referral;18;Sevastopol' city;1;yandex.ru;yandex.ru;0;;
GA1.2.1513230276.1577426768;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);05.01.2020;mobile;BMW-keyauto-krd.ru;/;1;1;16160;(not provided);organic;2;Krasnodar Krai;1;google;google;0;;
GA1.2.1513230276.1577426768;0;BMW;;0;0,00%;Chrome;Krasnodar;(not set);05.01.2020;mobile;cars.BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;2;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1513244062.1558692437;1;Mercedes;;0;0,00%;Chrome;Sochi;Mersedes_Krasnodar_Poisk;12.02.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/?placement=;1;1;36866;#NAME?;cpc;2;Krasnodar Krai;1;google;google;0;;
GA1.2.1513287441.1581070998;1;Mercedes;;0,005023148;0,00%;Chrome;Rostov-on-Don;(not set);07.02.2020;mobile;Mersedes-krasnodar.ru;/;1;1;40543;(not provided);organic;8;Rostov Oblast;1;google;google;0;;
GA1.2.1513287441.1581070998;0;Mercedes;cla;0;0,00%;Chrome;Voronezh;(not set);10.02.2020;mobile;Mersedes-krasnodar.ru;/models/cla/options/;0;0;0;(not provided);organic;2;Voronezh Oblast;1;google;google;0;2050000;Рубль
GA1.2.1513309734.1579106867;0;Mercedes;;0,000486111;0,00%;Chrome;Moscow;(not set);15.01.2020;mobile;Mersedes-krasnodar.ru;(entrance);0;0;0;(not set);referral;4;Moscow;1;go.mail.ru;go.mail.ru;0;;
GA1.2.1513371662.1581791974;1;Mercedes;;0,029224537;0,00%;Safari;Krasnodar;(not set);15.02.2020;mobile;Mersedes-krasnodar.ru;/;1;1;11918;(not set);referral;24;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1513444933.1578400554;1;Mercedes;;0,001377315;0,00%;YaBrowser;Krasnodar;(not set);07.01.2020;mobile;Mersedes-krasnodar.ru;/;1;1;11318;(not set);referral;14;Krasnodar Krai;1;Mersedes.ru;Mersedes.ru;0;;
GA1.2.1513525538.1578132920;1;Mercedes;;0,002986111;0,00%;Safari;Stavropol;(not set);04.01.2020;mobile;Mersedes-krasnodar.ru;/;1;1;14194;(not set);(none);6;Stavropol Krai;1;(direct);(direct);0;;
GA1.2.1513533025.1581588069;1;Mercedes;e220;0,007881944;0,00%;YaBrowser;Krasnodar;36451504;13.02.2020;desktop;Mersedes-krasnodar.ru;/special/purchase/e220/?calltouch_tm=yd_c:36451504_gb:3435678788_ad:6081156759_ph:15338213244_st:search_pt:premium_p:3_s:none_dt:desktop_reg:35_ret:_apt:none&yclid=553035067691661160;1;1;32752;киа рио;cpc;10;Krasnodar Krai;1;yandex;YANDEX;0;3850000;Рубль
